
 polygon_id | hexagon_id | param_code | param_value
------------+------------+------------+--------------------
          5 |        201 |  predicted |  0.158137029971717
          0 |        168 |     hex_id |                168
         10 |        235 |  predicted | 0.0759010910987854
          2 |        184 |     hex_id |                184
          4 |        200 |     weight |               0.28
          0 |         60 |      total |   2.48072409629822
          0 |         58 |     weight | 0.0867924528301887
          0 |         77 |  predicted |   1.24913620347736
          0 |         66 |     weight |  0.374407582938389
          5 |         59 |     weight |                0.2
          6 |         72 |     hex_id |                 72
         10 |        235 |      total |  0.455406546592712
          0 |        194 |     hex_id |                194
          0 |         70 |      total |   5.50545215606689
          0 |        218 |     weight |  0.033175355450237
          8 |        215 |     hex_id |                215
          2 |        176 |     hex_id |                176
          7 |        202 |      total |   1.88719320297241
          5 |         51 |      total |   1.99553871154785
          1 |        170 |  predicted | 0.0198925300077959
          2 |        176 |     weight | 0.0882352941176471
         10 |        235 |     hex_id |                235
          0 |        209 |     hex_id |                209
          6 |        208 |  predicted |   1.04442917322821
          9 |         87 |     weight | 0.0311332503113325
          6 |         79 |     hex_id |                 79
          9 |         80 |     weight | 0.0709838107098381
          1 |        169 |     hex_id |                169
          3 |         53 |     hex_id |                 53
          1 |        177 |     hex_id |                177
          0 |        202 |      total |   5.06629991531372
          3 |        187 |      total |   1.00127959251404
          9 |        233 |      total |   15.0451831817627
          0 |        184 |      total |  0.638292074203491
          5 |        185 |      total |   1.99553871154785
          3 |         60 |  predicted |  0.625799745321274
          0 |         64 |      total |   3.43887615203857
          0 |         65 |  predicted |   5.12090620403723
          0 |         44 |     weight |  0.352941176470588
          0 |         87 |  predicted |  0.900943252544474
          0 |        177 |     weight |  0.363636363636364
         10 |        227 |  predicted |  0.121441745758057
          7 |         73 |      total |   1.88719320297241
          0 |         82 |      total |   1.19238114356995
          0 |        207 |  predicted |  0.138792911497485
          8 |        207 |  predicted | 0.0618553281832142
          0 |        168 |  predicted |  0.056319888900308
         10 |        235 |     weight |  0.166666666666667
          0 |         37 |  predicted | 0.0187732963001027
          0 |        169 |  predicted | 0.0851308757608587
          0 |        223 |      total |   5.50545215606689
          0 |         72 |  predicted |    4.7701592037607
          3 |        195 |      total |   1.00127959251404
          7 |        218 |      total |   1.88719320297241
          0 |         64 |  predicted |   1.28384709676107
          0 |         94 |  predicted |   1.62169785458005
          2 |        168 |      total |  0.394762516021729
          0 |         93 |      total |   2.98444080352783
          6 |        208 |     weight | 0.0977312390924956
          5 |         59 |  predicted |   0.39910774230957
          0 |         51 |     weight |  0.184905660377358
          0 |         52 |  predicted |  0.111547128209528
          4 |        192 |     weight | 0.0533333333333333
          0 |         46 |     hex_id |                 46
          9 |         80 |     hex_id |                 80
          5 |        201 |     hex_id |                201
          9 |        234 |     weight | 0.0074719800747198
          0 |        195 |     weight |  0.107142857142857
          1 |         45 |  predicted | 0.0596775900233876
          0 |        169 |     weight |  0.136363636363636
         10 |         89 |     hex_id |                 89
          0 |         52 |     weight | 0.0113207547169811
          0 |         82 |  predicted | 0.0794920762379964
          0 |        219 |      total |   1.19238114356995
          0 |        235 |     hex_id |                235
          3 |         53 |  predicted | 0.0893999636173248
          2 |        184 |     weight |  0.235294117647059
          5 |         59 |      total |   1.99553871154785
          0 |         66 |     hex_id |                 66
          6 |        216 |     weight | 0.0471204188481675
          0 |        216 |  predicted |   0.94701690074661
          9 |         80 |      total |   15.0451831817627
          0 |         73 |     weight |  0.222748815165877
          1 |        170 |     hex_id |                170
          0 |         31 |  predicted | 0.0567539171739058
          1 |         31 |  predicted | 0.0397850600155917
          4 |        199 |      total |   1.36733675003052
          4 |         57 |      total |   1.36733675003052
          0 |        232 |  predicted |  0.596888160705566
          0 |         46 |  predicted | 0.0885972891535078
          6 |        208 |     hex_id |                208
          1 |         45 |     weight |  0.136363636363636
          3 |        194 |     hex_id |                194
          7 |        210 |     hex_id |                210
          3 |        195 |     hex_id |                195
          0 |         94 |      total |   28.9382972717285
          0 |        209 |     weight |  0.101221640488656
          0 |         86 |     hex_id |                 86
          1 |         38 |  predicted | 0.0994626500389793
          8 |         77 |  predicted |  0.556697953648928
          0 |        170 |      total |  0.624293088912964
         10 |         82 |     hex_id |                 82
          0 |        201 |     hex_id |                201
         10 |         88 |      total |  0.455406546592712
         10 |         82 |      total |  0.455406546592712
          3 |        194 |  predicted |  0.125159949064255
          9 |         94 |  predicted |  0.843129817159802
          0 |        225 |     weight |  0.790784557907846
          3 |        187 |  predicted |  0.017879992723465
          0 |        207 |     hex_id |                207
          0 |         51 |      total |    9.8533296585083
          0 |        208 |      total |   20.0978031158447
          8 |        223 |     hex_id |                223
          0 |         45 |  predicted | 0.0851308757608587
          0 |         45 |     hex_id |                 45
          0 |         80 |  predicted |    2.0541506158014
          2 |         44 |  predicted |  0.139327946831198
          0 |        192 |  predicted |  0.183406728108724
         10 |        219 |     hex_id |                219
          0 |         36 |     weight | 0.0882352941176471
          0 |         31 |     hex_id |                 31
          1 |         45 |      total |  0.437635660171509
          0 |         52 |     hex_id |                 52
          6 |        209 |     weight |  0.101221640488656
          0 |         87 |      total |   28.9382972717285
          5 |         52 |  predicted | 0.0225910042816738
          8 |         70 |     weight | 0.0420168067226891
          7 |         74 |     weight | 0.0758293838862559
          6 |        208 |      total |   10.6867485046387
          0 |         53 |     hex_id |                 53
          0 |         81 |      total |   1.19238114356995
          0 |         87 |     hex_id |                 87
          0 |        201 |  predicted |  0.780829897466696
          0 |        217 |  predicted |   3.64776880287583
          2 |         37 |  predicted | 0.0116106622359332
         10 |         82 |     weight | 0.0666666666666667
          0 |        194 |  predicted |  0.310090512037277
          0 |         66 |      total |   5.06629991531372
          8 |         77 |     hex_id |                 77
          4 |         64 |     weight |  0.373333333333333
          0 |         65 |      total |   20.0978031158447
          2 |        184 |  predicted | 0.0928852978874655
          5 |        185 |     hex_id |                185
          2 |         37 |     hex_id |                 37
          0 |         77 |     hex_id |                 77
         10 |         89 |     weight | 0.0666666666666667
          0 |         71 |     hex_id |                 71
          7 |        202 |     weight |  0.127962085308057
          0 |        187 |  predicted | 0.0442986445767539
          0 |         45 |     weight |  0.136363636363636
         11 |         93 |      total |   1.47242784500122
          0 |         87 |     weight | 0.0311332503113325
         10 |        227 |      total |  0.455406546592712
          7 |         73 |     weight |  0.222748815165877
          0 |         51 |  predicted |   1.82193642742229
          0 |        193 |      total |    9.8533296585083
          0 |        192 |     hex_id |                192
