
 polygon_id | hexagon_id | param_code | param_value
------------+------------+------------+---------------------
         10 |         88 |     weight |   0.166666666666667
         11 |         86 |     hex_id |                  86
          2 |        184 |  predicted |  0.0683418722713695
          5 |         51 |  predicted |   0.275198328270102
          6 |        208 |     weight |  0.0977312390924956
          2 |         36 |      total |    0.29045295715332
         10 |         88 |      total |    0.43369197845459
          5 |         59 |  predicted |   0.297663497924805
          4 |        199 |     weight |   0.253333333333333
          9 |        225 |  predicted |    10.5003932226046
          1 |         31 |     hex_id |                  31
          8 |         78 |  predicted |   0.378847619064716
          6 |        209 |  predicted |    1.00150651249378
          5 |         58 |     weight |  0.0867924528301887
          7 |        210 |     hex_id |                 210
          9 |         80 |     weight |  0.0709838107098381
         10 |        235 |  predicted |  0.0722819964090983
          7 |         67 |      total |    1.28322172164917
          6 |         72 |      total |    9.89419364929199
          9 |        234 |      total |     13.278450012207
          5 |        201 |  predicted |   0.117942140687187
          4 |        199 |      total |    1.17040061950684
          9 |         80 |  predicted |   0.942554982186552
         11 |         85 |      total |    1.16982698440552
          5 |         59 |     weight |                 0.2
         11 |        232 |     weight |                 0.2
          9 |        225 |      total |     13.278450012207
          9 |         94 |  predicted |   0.744122354357804
          3 |         46 |     hex_id |                  46
         10 |        235 |     hex_id |                 235
          7 |        210 |     weight |  0.0663507109004739
         10 |        227 |      total |    0.43369197845459
         11 |         85 |     hex_id |                  85
         11 |        232 |     hex_id |                 232
          5 |        193 |     hex_id |                 193
          3 |         60 |     weight |               0.625
          7 |         74 |  predicted |  0.0973059125421172
          1 |        170 |  predicted |  0.0123842358589172
         10 |         81 |  predicted |  0.0144563992818197
         10 |        227 |     weight |   0.266666666666667
         10 |        219 |     weight |   0.233333333333333
          3 |        195 |      total |   0.683400630950928
          4 |        192 |  predicted |  0.0624213663736979
          2 |         43 |     weight |   0.117647058823529
          2 |        184 |      total |    0.29045295715332
          9 |        226 |      total |     13.278450012207
          5 |        193 |      total |    1.48831748962402
          3 |         46 |  predicted |  0.0244071653911046
          4 |         57 |     weight |                0.04
          5 |        201 |     weight |  0.0792452830188679
         11 |        224 |     weight |              0.2125
          3 |         53 |     hex_id |                  53
         10 |         89 |     weight |  0.0666666666666667
          3 |        187 |  predicted |  0.0122035826955523
          7 |         66 |  predicted |   0.480447943176703
          3 |         53 |      total |   0.683400630950928
          1 |         38 |     hex_id |                  38
          5 |         59 |     hex_id |                  59
          8 |         70 |     hex_id |                  70
          9 |         94 |     hex_id |                  94
          2 |        184 |     hex_id |                 184
          4 |        192 |     hex_id |                 192
          8 |        207 |  predicted |  0.0473559523830895
          3 |        195 |     weight |   0.107142857142857
          9 |         87 |     hex_id |                  87
          1 |        169 |      total |   0.272453188896179
          2 |         44 |     hex_id |                  44
         11 |        224 |      total |    1.16982698440552
          8 |         77 |      total |    1.87845277786255
          7 |        218 |     weight |   0.033175355450237
          9 |         87 |      total |     13.278450012207
          2 |         44 |     weight |   0.352941176470588
          7 |         67 |  predicted |   0.127714010211529
          2 |         43 |  predicted |  0.0341709361356847
          9 |         80 |      total |     13.278450012207
          1 |         31 |      total |   0.272453188896179
          2 |        176 |      total |    0.29045295715332
          5 |        185 |      total |    1.48831748962402
          7 |        218 |      total |    1.28322172164917
